category,subcategory,name,description,url,price,image
Women,,Variant product,Variant product,,19.99,http://localhost:8888/media/4b/2a/2d/1725522913/shirt_600x600.jpg?1725522913
Men,,Main product with properties,Main product with properties,,19.99,http://localhost:8888/media/38/22/09/1725522913/hemd_600x600.jpg?1725522913
Baby,,Practical Wooden Red Butter,Doloremque voluptate nam voluptates quod minima impedit. Deleniti provident quia laudantium. Et numquam aliquam deleniti omnis magni consequatur tempore.,,706.77,http://localhost:8888/media/4b/4e/72/1775751817/29925fb3e9a19a88b66e97ee741cb195.jpg?1775751817
Baby,,Gorgeous Bronze Oulu,Est consequuntur ea inventore amet quis dolores. Fugit est repellendus ea error rerum maxime aut. Voluptas a ipsam iusto corporis. Dolores ex rerum velit maiores ipsa alias ea.,,949.15,http://localhost:8888/media/4b/2a/2d/1725522913/shirt_600x600.jpg?1725522913
Baby,,Rustic Iron Motovation,Harum itaque alias nisi et expedita ullam nisi. Itaque dignissimos officiis consequatur.,,412.60,http://localhost:8888/media/b1/fe/58/1775751818/11bd84e2bb54236427357c2545b22d00.jpg?1775751818
Baby,,Heavy Duty Bronze Retro Salts,Atque sed labore blanditiis labore vel in odio placeat. Odit dicta et autem facere consequuntur molestias quis modi. Totam rerum minus dolor.,,48.81,http://localhost:8888/media/b8/06/65/1775751817/1f95f2573ddfe47a4ae9f410272d934b.jpg?1775751817
Baby,,Aerodynamic Iron Waab,Ea quia necessitatibus dolorem aut dolorem. Blanditiis ut aperiam voluptatem aspernatur voluptate voluptatem voluptatem. Est sint odit ea laborum ipsa.,,940.39,http://localhost:8888/media/08/cf/3c/1725522913/shirt_blue_600x600.jpg?1725522913
Baby,,Sleek Marble ShakeOut,Nihil vitae illo assumenda quam. Fugiat reiciendis ducimus consequatur hic sit similique. Qui dolores est in dolores ducimus labore ut. Aliquid incidunt ut doloribus voluptatibus vel.,,571.37,http://localhost:8888/media/f2/ee/45/1775751818/c6de617bc4a4c0964368c80597a8e8c3.jpg?1775751818
Baby,,Sleek Steel Hog Leather,Atque mollitia necessitatibus saepe. Est quo id enim iste et.,,559.51,http://localhost:8888/media/47/2b/c1/1775751818/41262c984f2f613a75afbdb858d4fcc0.jpg?1775751818
Baby,,Awesome Steel Fornicon,Vitae laboriosam et sequi ratione vitae. Accusamus id porro facilis quia incidunt eligendi. Omnis est asperiores nisi ut enim magnam expedita. Dignissimos quos perspiciatis autem in sint totam.,,474.36,http://localhost:8888/media/76/dc/ac/1775751818/91dafd546ead648abfb1d82d38891527.jpg?1775751818
Baby,,Sleek Cotton Peek-A-Boo Buddha,Eum voluptas cumque maiores quos. Cum quaerat excepturi aperiam natus. Quam et nihil voluptates at dolor. Atque quisquam blanditiis nesciunt qui maxime cumque. Laborum cumque nihil voluptatem autem.,,518.32,http://localhost:8888/media/34/dc/c0/1775751818/f8a6b4028deaf9333752d4a6e28f9855.jpg?1775751818
Baby,,Synergistic Cotton Netstalgia,Eligendi et libero velit nihil tenetur nulla aliquid. Incidunt aspernatur sint ab incidunt et. Explicabo eos dignissimos omnis dolores vel laborum.,,945.64,http://localhost:8888/media/c3/8e/b4/1775751818/2a50361c717d81bda5d9135591c978c8.jpg?1775751818
Baby,,Ergonomic Concrete Swindle Gadget,Nam quidem suscipit est ea et in accusantium. Voluptatem expedita nihil veniam nisi dolorem. Nostrum animi qui saepe nemo. Alias quia aut voluptatibus similique. Vitae aut et sunt molestias quasi.,,912.39,http://localhost:8888/media/ac/af/b6/1775751818/8e5a6960455e8d9c1d19640273eede1c.jpg?1775751818
Baby,,Durable Marble Shiny Spinners,Qui laudantium tempora earum quia eius ut. A consequatur suscipit qui velit recusandae ut. Alias rem ea est voluptatem porro est.,,83.94,http://localhost:8888/media/2a/de/ed/1725522914/shirt_red_600x600.jpg?1725522914
Baby,,Durable Linen Extrudia,Et sit sit voluptatum exercitationem. Aut et nobis minima aut velit debitis.,,161.33,http://localhost:8888/media/38/22/09/1725522913/hemd_600x600.jpg?1725522913
Baby,,Synergistic Iron Develaport,Praesentium explicabo et maiores at nesciunt. Corrupti et eum iste porro dignissimos. Ut tempore doloribus sit omnis non adipisci et.,,658.95,http://localhost:8888/media/d0/f2/06/1775751818/f7ca393d8c3e65a2eee208fc12613d8e.jpg?1775751818
Baby,,Rustic Granite Hank’s Gadget,Vitae quia sit id harum. Hic ut corrupti quia earum. Impedit neque provident quod consectetur exercitationem enim quisquam. Unde voluptatem blanditiis occaecati et iusto deserunt veritatis molestiae.,,228.61,http://localhost:8888/media/d0/f2/06/1775751818/f7ca393d8c3e65a2eee208fc12613d8e.jpg?1775751818
Baby,,Lightweight Marble ALstruct,Deleniti dolorum et quos eligendi dicta est. Est aperiam repellat accusamus quidem. Quia dolorum aut fugit ducimus. Et quasi eum illo aut voluptas quia.,,21.81,http://localhost:8888/media/78/1c/66/1775751817/2a7a1fd70857a1e2f4507c3b2bf03305.jpg?1775751817
Baby,,Gorgeous Silk Alumisheer,Itaque eligendi vero ad voluptate. Accusantium eos porro ut tempore velit. Quod porro in qui doloremque qui praesentium sed. Sequi atque soluta quidem debitis architecto.,,168.32,http://localhost:8888/media/54/48/8a/1775751819/23b7cafed7c3371a048be010f0c9ad42.jpg?1775751819
Baby,,Rustic Concrete Fire Waltz,Consequatur maiores eligendi ab dolor. Molestias aut eius minima quaerat. Quis cumque illum incidunt aliquam rerum.,,328.70,http://localhost:8888/media/ac/af/b6/1775751818/8e5a6960455e8d9c1d19640273eede1c.jpg?1775751818
Baby,,Ergonomic Wooden KidTalk,Quo consequuntur nesciunt tenetur consectetur delectus ea. Aliquam saepe explicabo tempore ea repellendus asperiores. Est aperiam expedita aut culpa.,,615.08,http://localhost:8888/media/64/9c/0d/1775751818/134b0eca08cd76a90cc6ef6b5e2fa0f0.jpg?1775751818
Baby,,Rustic Silk Bone Biter,Error soluta natus nobis non mollitia doloremque et. Quos sed aliquid nisi aut ratione soluta sit nemo. Repellat quaerat modi praesentium et nisi.,,461.62,http://localhost:8888/media/9d/b0/b8/1775751819/73a522094f5e1d15dd4d1ffb04a252d5.jpg?1775751819
Electronics & Baby,,Sleek Linen Stralum,Fugit rerum magnam hic inventore. Exercitationem officiis aliquam veniam voluptas. Deserunt illo natus a eligendi et ea rem.,,877.53,http://localhost:8888/media/83/c8/71/1775751840/531f9ea402789e085f65531e8d50c409.jpg?1775751840
Electronics & Baby,,Lightweight Wooden Water Lily Scum Snaps,Eveniet tempora vel tempore ut at fugiat non. Eaque tempore deleniti numquam quas ea pariatur. Laudantium non magnam est sunt architecto. Aut blanditiis enim porro illo dolore ipsa deserunt fuga.,,602.63,http://localhost:8888/media/43/84/3e/1775751840/7ad3d7c4970456124e91d0338ed4ea62.jpg?1775751840
Electronics & Baby,,Ergonomic Aluminum Sonic Faucet,Et aut eum accusantium aut nam ut. Dolor perspiciatis quo consectetur doloremque exercitationem.,,230.16,http://localhost:8888/media/9d/b0/b8/1775751819/73a522094f5e1d15dd4d1ffb04a252d5.jpg?1775751819
Electronics & Baby,,Small Plastic Kidgrease,Odit rerum nemo nisi provident vel corrupti. Id laborum amet sit animi aut cupiditate exercitationem. Incidunt temporibus similique aperiam sit atque in corrupti. Dolor deleniti accusamus harum.,,193.89,http://localhost:8888/media/e7/d0/bb/1775751838/a9dc1fab60615c9176ccdcd195abe9a2.jpg?1775751838
Electronics & Baby,,Intelligent Iron Tickle Town,Nemo at praesentium quibusdam debitis veritatis dolores vel. Quas reprehenderit hic doloremque doloremque. Delectus assumenda tempora et et molestiae.,,555.19,http://localhost:8888/media/f5/95/28/1775751817/1e6ee9a8da45c446a3e5fa3b1d9cd7a9.jpg?1775751817
Electronics & Baby,,Mediocre Aluminum Umbilical Cordials,Beatae sunt enim totam facere quis inventore voluptatibus sint. Dignissimos et aperiam id quibusdam aliquid earum. Dignissimos vel enim beatae dignissimos.,,335.30,http://localhost:8888/media/78/1c/66/1775751817/2a7a1fd70857a1e2f4507c3b2bf03305.jpg?1775751817
Electronics & Baby,,Small Aluminum Fizz,Perspiciatis omnis id illo expedita rerum sed. Quasi optio doloribus soluta. Sit fuga et autem est et ad temporibus.,,207.15,http://localhost:8888/media/01/5a/7b/1775751841/a9f52878cb2c425cd4444b5f1138be87.jpg?1775751841
Electronics & Baby,,Gorgeous Concrete SipitUp,Aut autem iusto quia asperiores eligendi. Quos repudiandae veniam ut voluptate odio illo. Culpa nesciunt assumenda rerum suscipit minus voluptatem.,,346.04,http://localhost:8888/media/89/b8/0a/1775751841/8a22070b6bc0010a072acd311157446d.jpg?1775751841
Electronics & Baby,,Awesome Bronze UniNerve,Id quaerat mollitia at magnam dolore. Itaque ut debitis accusamus libero ut non qui.,,302.06,http://localhost:8888/media/6a/74/b6/1775751841/68e3177a359dbcb26be662f68b3cf1f2.jpg?1775751841
Electronics & Baby,,Heavy Duty Concrete Zoom Zoom Shipping,Dolorem sit quis natus vel molestiae rerum error. Tenetur assumenda et ratione eligendi consectetur in officia. Illum eligendi expedita et.,,100.44,http://localhost:8888/media/12/0f/27/1775751818/108f880c24a5b723a30da20df7af4d64.jpg?1775751818
Electronics & Baby,,Practical Steel Jetsilk,Enim laborum tenetur est enim enim nesciunt facere. Ea quis nostrum doloribus. Ducimus quas dolor ad at omnis in. Unde eum qui necessitatibus itaque.,,410.84,http://localhost:8888/media/c7/20/e6/1775751840/7d396b76d4f4a3c284cf5395c0e1fe68.jpg?1775751840
Electronics & Baby,,Enormous Marble Clean Sounds,Amet asperiores dolorem praesentium nemo. Harum provident voluptatem corporis soluta rerum ipsum voluptas. Tempore consectetur tenetur aspernatur officia ut autem doloremque.,,233.94,http://localhost:8888/media/9a/6c/b9/1775751840/4f366245ddaf42a86025b3c9cb331c84.jpg?1775751840
Electronics & Baby,,Aerodynamic Copper Scorched Sunwear,Tempore velit molestiae est mollitia. Laborum quos quos totam officiis. Exercitationem ea quidem fugit voluptatem suscipit.,,511.93,http://localhost:8888/media/76/dc/ac/1775751818/91dafd546ead648abfb1d82d38891527.jpg?1775751818
Electronics & Baby,,Ergonomic Granite FaceMaster,Culpa laudantium sed dolor quia. Consequatur aut esse quisquam vero illum consequatur rerum.,,139.28,http://localhost:8888/media/65/7c/43/1775751838/b8f89489289226f3b59b3c85d5d8b63a.jpg?1775751838
Electronics & Baby,,Aerodynamic Bronze Xymonk,Quos quos voluptates atque dicta eligendi. Atque provident odit praesentium. Aut rerum aut odit.,,869.32,http://localhost:8888/media/b9/fc/d1/1775751817/7c30cec6123be03ca4d7c99160f3e66d.jpg?1775751817
Electronics & Baby,,Small Wooden Noodle Doodle,Enim iure dicta perferendis eos est voluptatibus voluptatem. Voluptate vel illum esse voluptas itaque. Molestias voluptatem nobis non dolor rerum magnam voluptatem.,,253.96,http://localhost:8888/media/99/9c/f3/1775751840/5e36b61f1258ccfe8de150ae5c4e11f8.jpg?1775751840
Electronics & Baby,,Incredible Wool Bottle,Est nobis ducimus eius velit voluptas autem aut iure. Repudiandae voluptatum consequuntur voluptate fugit repellat sapiente.,,788.21,http://localhost:8888/media/ed/69/c2/1775751839/4ae5403ab0b899ce45e4e1d68073219e.jpg?1775751839
Electronics & Baby,,Incredible Cotton ReLeash Me,Et ratione esse occaecati accusamus. Laboriosam in qui est non in aut. Reiciendis esse pariatur perferendis eos optio rerum omnis.,,433.21,http://localhost:8888/media/99/9c/f3/1775751840/5e36b61f1258ccfe8de150ae5c4e11f8.jpg?1775751840
Electronics & Baby,,Fantastic Wool Rock Meet,Non non quasi minus aut dolores rem. Voluptates atque accusantium et officia. Porro similique in aut autem rem vero.,,124.40,http://localhost:8888/media/43/84/3e/1775751840/7ad3d7c4970456124e91d0338ed4ea62.jpg?1775751840
Electronics & Baby,,Sleek Silk Pepto Mosh,Eum molestias non id dignissimos. Est eos nemo maxime labore occaecati expedita quisquam. Voluptatem molestiae corrupti voluptatem quisquam.,,867.51,http://localhost:8888/media/04/db/3b/1775751817/a3d8bd87d03eae87210e66b9d391df42.jpg?1775751817
"Electronics, Outdoors & Movies",,Durable Copper Nest Vesting,Est quo voluptatibus sit non est. Quasi facilis aspernatur dolore maiores quisquam. Sunt sunt harum harum et quod sed consequatur suscipit.,,779.59,http://localhost:8888/media/50/32/d2/1775751840/0feecdac9092d8a9329e6cac75dfc20f.jpg?1775751840
"Electronics, Outdoors & Movies",,Heavy Duty Bronze The Quiche of Death,Ipsam provident reiciendis aperiam quis quidem. Molestiae et sint voluptatem. Voluptatum perspiciatis repellat similique id ab amet. Inventore aut voluptatibus qui cum consequatur quas perferendis.,,724.35,http://localhost:8888/media/55/19/1f/1775751841/eac5d0c637a8881c5a7227edaae8b875.jpg?1775751841
"Electronics, Outdoors & Movies",,Heavy Duty Bronze Ideoswitch,Ipsa itaque sapiente pariatur ipsum. Eaque autem ullam inventore quis distinctio vero similique omnis. Est dignissimos fugit consequatur quas.,,998.77,http://localhost:8888/media/f7/be/26/1775751838/04317d7af944cb76afd55d4a26290865.jpg?1775751838
"Electronics, Outdoors & Movies",,Incredible Rubber Flying Gravity,Et incidunt qui amet. Est labore omnis non et dolorem facilis reprehenderit quam. Autem esse illo voluptas.,,665.18,http://localhost:8888/media/76/fb/62/1725522913/schokolade_600x600.jpg?1725522913
"Electronics, Outdoors & Movies",,Incredible Plastic Liquid Granite,Magnam ex esse quae ea eaque sit rerum. Eum nostrum rem odit ratione. Ut eius quia provident dignissimos. Cupiditate numquam sed autem aut.,,338.65,http://localhost:8888/media/e0/2a/5b/1775751839/b512b8970b3089a3bb0d828cfe23bab2.jpg?1775751839
"Electronics, Outdoors & Movies",,Awesome Linen Cutter Claw,Aliquam quia sint dolorem corrupti nihil culpa. Voluptatum ex aliquam error culpa impedit voluptatem minus. Et quis rerum dicta excepturi ipsa labore ab. Veniam facere et atque alias ut dolorum sint.,,867.14,http://localhost:8888/media/65/7c/43/1775751838/b8f89489289226f3b59b3c85d5d8b63a.jpg?1775751838
"Electronics, Outdoors & Movies",,Lightweight Aluminum Portable Fish,Modi est asperiores ut eos in voluptatem quae. Esse perspiciatis totam provident nihil qui nihil. In voluptas nostrum laborum quos sed a.,,650.79,http://localhost:8888/media/dc/c7/4e/1775751818/3c7bb9b673dc627bbea6991677d73dcc.jpg?1775751818
"Electronics, Outdoors & Movies",,Heavy Duty Aluminum LemonAday,Alias repellendus qui provident repudiandae eius quam harum repellendus. Quod et repudiandae quis quos. Et nesciunt aliquid unde consequatur architecto. Aliquid sit qui eos voluptatem sit est ea.,,737.94,http://localhost:8888/media/2a/de/ed/1725522914/shirt_red_600x600.jpg?1725522914
"Electronics, Outdoors & Movies",,Mediocre Cotton Telemarket Tier,Quibusdam qui deserunt harum qui sit. Natus velit ea reprehenderit numquam sunt molestiae. Id officiis et impedit officiis. Harum eveniet est quos quibusdam.,,9.38,http://localhost:8888/media/19/a4/f3/1775751818/f197c6cf2679da314c3722b727955c5e.jpg?1775751818
"Electronics, Outdoors & Movies",,Intelligent Wooden Prawn Perfect,Non culpa ut dolor aliquam. Et enim eos qui quo suscipit. Earum dolor qui corporis. Voluptas aut quis et consectetur voluptatum distinctio.,,688.45,http://localhost:8888/media/d3/63/c2/1775751818/f21bca34eaa80cbce5381d90e5ea0a74.jpg?1775751818
"Electronics, Outdoors & Movies",,Durable Leather Nuclear Winter Mint,Maxime aut provident ex tempore. Vitae voluptatem et qui numquam tenetur. Numquam a libero voluptas quis minima dolorum nostrum rem.,,320.36,http://localhost:8888/media/7e/d5/77/1775751839/c6056085d4f410e4a3ce8fb55e5a46a7.jpg?1775751839
"Electronics, Outdoors & Movies",,Enormous Cotton Alumina,Quam voluptatibus et neque corporis in modi dolorum provident. Magni dignissimos id accusamus. Explicabo et et aliquid consectetur non eaque qui. Molestiae at blanditiis repellendus doloribus.,,552.05,http://localhost:8888/media/4e/b9/81/1775751841/c2161cae51bb90b8b37b1c56743d0818.jpg?1775751841
"Electronics, Outdoors & Movies",,Synergistic Plastic Entertecture,Placeat corporis mollitia iusto. Consequatur aliquam veniam nam ea consequuntur est maxime. Eos nisi vero quis maxime.,,482.32,http://localhost:8888/media/7f/65/08/1775751839/bdff5a2ff3abae982f09412e50b824be.jpg?1775751839
